BRANCH	TIME	EVENT	BROKEN_ADJACENCIES
n10	1.0204739598317023	I	-16_8|-17_8,+24_8|+25_8
n10	1.0488036958433955	O	+42_17|-41_17
n10	1.1338780522917011	AT	+75_11|+76_15
n9	0.9637676726343803	O	-4_8|-5_8
n8	0.9032252661949692	AT	+29_9|-30_11
n8	0.911110092931009	L	-91_9|+92_9,+92_9|+93_9
n8	0.911536848627601	I	+71_9|+72_9,-11_9|-12_9
n8	0.9165870764013476	P	+85_9|-84_9,+83_9|-82_9,-54_13|+55_13
n8	1.0152277995297865	O	+24_9|+25_9
n8	1.2551761740591822	AT	+100_9|+99_17
n8	1.304981639346832	O	-52_11|-53_11
n8	1.3207557256905156	L	+77_9|-76_9,-76_9|-75_9
n8	1.7554983954820211	L	-15_9|-16_9,-16_9|-17_9
n8	1.854513305109539	I	+91_9|+90_9,+107_3|+85_9
n8	1.8635296364888485	AT	-34_9|-35_33
n8	1.8768176545345	P	-49_15|+48_15,-47_15|+46_15,-80_9|+106_3
n8	1.912677898796856	P	-107_3|+86_9,-81_9|-80_9,-53_11|-54_11
n8	1.92747466628808	O	-27_9|+28_9
n8	1.9805805323574115	D	+60_11|-61_11
n8	2.0413155129492897	O	+85_33|-82_35
n8	2.0603702041510346	AT	+91_9|-107_27
n8	2.1080536394931766	L	-49_77|+48_77,+48_77|-47_77
n8	2.123048634385407	AT	+57_66|-59_73
n8	2.207103201832541	L	-52_13|-53_13,-53_13|-54_48
n8	2.2221470399893897	P	+55_13|+56_13,+56_13|+57_13,-37_9|-45_11
n8	2.230142405210493	O	+125_1|+28_9
n8	2.34375014789389	AT	+86_36|+87_43
n8	2.3689473703206345	I	-51_15|-50_15,-67_9|+68_9
n8	2.385637036276381	AT	-81_35|-54_89
n8	2.418325578859568	P	+65_9|+64_9,-46_15|+49_15,+55_68|+56_64
n8	2.5134550949138075	L	+46_76|+40_64,+40_64|-52_70
n8	2.8195855916323387	D	-59_65|+60_67
n8	2.8534029163530548	P	-50_89|-49_77,-52_71|+116_3,-72_9|-12_9
n8	2.888645571814081	O	-60_13|+59_13
n8	2.9772087431462544	P	+64_9|-63_9,-60_13|+151_1,-37_9|+56_13
n8	2.9959090964000428	O	+86_37|+87_35
n8	3.0043883278784445	L	+86_37|-152_1,-152_1|+87_35
n8	3.013205464112786	I	-49_76|+48_76,+87_43|-88_34
n8	3.175541710651475	P	-46_15|+56_64,+60_66|-44_41,-89_39|-90_37
n6	0.8876100658153188	O	+48_2|-47_2
n6	0.8944167304424141	L	+33_7|-34_7,-34_7|-35_7
n6	0.9412266496654226	O	+92_7|+93_7
n6	1.0244780547272656	I	+21_7|-22_7,+40_7|-52_7
n6	1.0313363960829305	AT	-83_7|+84_17
n6	1.0590751966098788	O	+37_7|+36_5
n6	1.2203725393570355	P	-29_7|-28_7,-25_7|-24_7,-79_7|+80_7
n5	0.8522184373905198	D	-44_2|+43_2
n5	0.912303903074756	L	-91_6|+92_6,+92_6|+93_6
n5	0.9915535156190144	I	-8_6|-9_6,-9_6|+10_6
n5	1.0711287683143882	L	-50_10|-49_10,-49_10|+48_10
n5	1.249859556054632	L	-37_6|-38_6,-38_6|+39_6
n5	1.3439873124500268	I	+48_11|-47_11,-73_6|+74_6
n5	1.457800256602675	I	+14_6|-15_6,-27_6|+28_6
n5	1.6699973526944685	P	-66_8|+65_6,-60_6|+59_6,-47_10|+46_10
n5	1.697813662825896	O	-4_6|-5_6
n5	1.8493986072022277	I	+6_6|-7_6,+41_6|-42_6
n5	1.8821619312973632	O	+74_6|+75_6
n5	1.9446816715818915	I	+80_6|+81_6,+84_6|-85_6
n5	2.24754155941912	I	-52_6|-53_6,+56_6|+57_6
n5	2.263823053249675	L	-91_6|+93_6,+93_6|+94_6
n4	0.7340596836674006	P	-37_3|-38_3,+46_3|-45_3,-41_3|+40_3
n4	0.7397030574560426	O	-79_5|+80_5
n4	0.8230524896515863	L	-9_5|+10_5,+10_5|-11_5
n4	0.8313535853578362	D	-61_5|+62_5
n4	0.8869518200776586	O	-85_5|+86_5
n3	0.7019918514022235	O	-54_3|+55_3
n3	0.7379169239064615	O	+39_4|-51_4
n3	0.7380120227154071	L	-77_4|-79_4,-79_4|+80_4
n3	0.8307168308711241	I	+25_4|-26_4,-101_4|-31_4
n3	0.8447973921097386	P	+82_4|-83_4,+84_4|-85_4,-17_4|+18_4
n3	0.9007628656692416	P	+93_4|+94_4,+94_4|-95_4,+18_4|-19_6
n3	0.926935827899496	O	+14_4|-15_4
n3	0.9577923973526512	O	+14_4|-109_1
n3	1.003331031736956	D	+42_4|-41_4
n3	1.1268403560858329	P	-95_4|+96_4,+98_4|-99_4,+39_18|+105_2
n3	1.2472518440311262	I	-89_4|-90_4,-109_2|-15_12
n3	1.3454528023214745	P	+46_21|-45_15,-44_15|+43_13,+8_4|+7_4
n3	1.6369449178536355	P	+33_13|-34_13,-37_13|-38_19,+48_20|-47_20
n3	1.7883700735963397	P	-34_13|-35_13,-37_13|-47_20,+63_4|-64_4
n1	0.620190452953936	O	-17_1|+18_1
n1	0.638917064397022	AT	-65_2|+66_5
n2	0.5278489370131652	L	-35_1|-36_1,-36_1|-37_1
n2	0.6256300102789085	O	+6_3|-7_3
n2	0.6259091239101165	AT	+18_3|-19_5
n2	0.6411079744482762	L	-77_3|+78_3,+78_3|-79_3
Root	0.0436602276691278	L	+57_1|-58_1,-58_1|-59_1
Root	0.1576847891266912	I	+39_1|-40_1,+51_1|-52_1
Root	0.3887011031175517	O	-30_1|-31_1
Root	0.4258770899408536	L	-31_1|+32_1,+32_1|+33_1
